    #Energy        TDOS
    #TDOS obtained from EIGENVAL file
    -5.82667     0.00026
    -5.82167     0.00031
    -5.81667     0.00035
    -5.81167     0.00041
    -5.80667     0.00047
    -5.80167     0.00055
    -5.79667     0.00063
    -5.79167     0.00073
    -5.78667     0.00084
    -5.78167     0.00097
    -5.77667     0.00111
    -5.77167     0.00128
    -5.76667     0.00147
    -5.76167     0.00168
    -5.75667     0.00192
    -5.75167     0.00220
    -5.74667     0.00251
    -5.74167     0.00286
    -5.73667     0.00326
    -5.73167     0.00372
    -5.72667     0.00422
    -5.72167     0.00480
    -5.71667     0.00545
    -5.71167     0.00617
    -5.70667     0.00699
    -5.70167     0.00790
    -5.69667     0.00893
    -5.69167     0.01008
    -5.68667     0.01136
    -5.68167     0.01280
    -5.67667     0.01440
    -5.67167     0.01618
    -5.66667     0.01817
    -5.66167     0.02038
    -5.65667     0.02283
    -5.65167     0.02555
    -5.64667     0.02856
    -5.64167     0.03190
    -5.63667     0.03559
    -5.63167     0.03966
    -5.62667     0.04415
    -5.62167     0.04910
    -5.61667     0.05455
    -5.61167     0.06054
    -5.60667     0.06711
    -5.60167     0.07433
    -5.59667     0.08223
    -5.59167     0.09088
    -5.58667     0.10033
    -5.58167     0.11066
    -5.57667     0.12192
    -5.57167     0.13419
    -5.56667     0.14755
    -5.56167     0.16206
    -5.55667     0.17783
    -5.55167     0.19493
    -5.54667     0.21345
    -5.54167     0.23350
    -5.53667     0.25518
    -5.53167     0.27858
    -5.52667     0.30383
    -5.52167     0.33103
    -5.51667     0.36031
    -5.51167     0.39178
    -5.50667     0.42558
    -5.50167     0.46183
    -5.49667     0.50067
    -5.49167     0.54225
    -5.48667     0.58670
    -5.48167     0.63417
    -5.47667     0.68481
    -5.47167     0.73878
    -5.46667     0.79622
    -5.46167     0.85729
    -5.45667     0.92215
    -5.45167     0.99097
    -5.44667     1.06390
    -5.44167     1.14111
    -5.43667     1.22275
    -5.43167     1.30899
    -5.42667     1.39999
    -5.42167     1.49590
    -5.41667     1.59689
    -5.41167     1.70309
    -5.40667     1.81467
    -5.40167     1.93176
    -5.39667     2.05451
    -5.39167     2.18305
    -5.38667     2.31751
    -5.38167     2.45802
    -5.37667     2.60467
    -5.37167     2.75758
    -5.36667     2.91685
    -5.36167     3.08256
    -5.35667     3.25478
    -5.35167     3.43359
    -5.34667     3.61903
    -5.34167     3.81114
    -5.33667     4.00996
    -5.33167     4.21549
    -5.32667     4.42775
    -5.32167     4.64670
    -5.31667     4.87233
    -5.31167     5.10460
    -5.30667     5.34344
    -5.30167     5.58878
    -5.29667     5.84053
    -5.29167     6.09858
    -5.28667     6.36282
    -5.28167     6.63310
    -5.27667     6.90928
    -5.27167     7.19117
    -5.26667     7.47861
    -5.26167     7.77139
    -5.25667     8.06929
    -5.25167     8.37209
    -5.24667     8.67954
    -5.24167     8.99139
    -5.23667     9.30737
    -5.23167     9.62721
    -5.22667     9.95060
    -5.22167    10.27725
    -5.21667    10.60685
    -5.21167    10.93908
    -5.20667    11.27362
    -5.20167    11.61012
    -5.19667    11.94826
    -5.19167    12.28770
    -5.18667    12.62808
    -5.18167    12.96906
    -5.17667    13.31030
    -5.17167    13.65145
    -5.16667    13.99217
    -5.16167    14.33211
    -5.15667    14.67094
    -5.15167    15.00834
    -5.14667    15.34397
    -5.14167    15.67752
    -5.13667    16.00869
    -5.13167    16.33717
    -5.12667    16.66270
    -5.12167    16.98499
    -5.11667    17.30378
    -5.11167    17.61883
    -5.10667    17.92992
    -5.10167    18.23682
    -5.09667    18.53935
    -5.09167    18.83732
    -5.08667    19.13056
    -5.08167    19.41894
    -5.07667    19.70233
    -5.07167    19.98061
    -5.06667    20.25371
    -5.06167    20.52154
    -5.05667    20.78406
    -5.05167    21.04123
    -5.04667    21.29303
    -5.04167    21.53947
    -5.03667    21.78057
    -5.03167    22.01635
    -5.02667    22.24688
    -5.02167    22.47220
    -5.01667    22.69242
    -5.01167    22.90762
    -5.00667    23.11790
    -5.00167    23.32339
    -4.99667    23.52421
    -4.99167    23.72050
    -4.98667    23.91241
    -4.98167    24.10010
    -4.97667    24.28372
    -4.97167    24.46343
    -4.96667    24.63942
    -4.96167    24.81184
    -4.95667    24.98088
    -4.95167    25.14670
    -4.94667    25.30948
    -4.94167    25.46939
    -4.93667    25.62660
    -4.93167    25.78128
    -4.92667    25.93358
    -4.92167    26.08366
    -4.91667    26.23168
    -4.91167    26.37777
    -4.90667    26.52207
    -4.90167    26.66471
    -4.89667    26.80581
    -4.89167    26.94549
    -4.88667    27.08384
    -4.88167    27.22097
    -4.87667    27.35696
    -4.87167    27.49189
    -4.86667    27.62583
    -4.86167    27.75885
    -4.85667    27.89100
    -4.85167    28.02232
    -4.84667    28.15287
    -4.84167    28.28267
    -4.83667    28.41176
    -4.83167    28.54016
    -4.82667    28.66790
    -4.82167    28.79498
    -4.81667    28.92143
    -4.81167    29.04726
    -4.80667    29.17247
    -4.80167    29.29709
    -4.79667    29.42112
    -4.79167    29.54458
    -4.78667    29.66749
    -4.78167    29.78985
    -4.77667    29.91170
    -4.77167    30.03306
    -4.76667    30.15396
    -4.76167    30.27444
    -4.75667    30.39454
    -4.75167    30.51431
    -4.74667    30.63380
    -4.74167    30.75308
    -4.73667    30.87222
    -4.73167    30.99129
    -4.72667    31.11037
    -4.72167    31.22956
    -4.71667    31.34896
    -4.71167    31.46866
    -4.70667    31.58878
    -4.70167    31.70944
    -4.69667    31.83074
    -4.69167    31.95283
    -4.68667    32.07583
    -4.68167    32.19986
    -4.67667    32.32507
    -4.67167    32.45159
    -4.66667    32.57955
    -4.66167    32.70908
    -4.65667    32.84032
    -4.65167    32.97338
    -4.64667    33.10840
    -4.64167    33.24549
    -4.63667    33.38475
    -4.63167    33.52628
    -4.62667    33.67016
    -4.62167    33.81648
    -4.61667    33.96530
    -4.61167    34.11665
    -4.60667    34.27058
    -4.60167    34.42709
    -4.59667    34.58619
    -4.59167    34.74784
    -4.58667    34.91201
    -4.58167    35.07863
    -4.57667    35.24761
    -4.57167    35.41885
    -4.56667    35.59220
    -4.56167    35.76753
    -4.55667    35.94464
    -4.55167    36.12334
    -4.54667    36.30339
    -4.54167    36.48456
    -4.53667    36.66656
    -4.53167    36.84910
    -4.52667    37.03188
    -4.52167    37.21455
    -4.51667    37.39675
    -4.51167    37.57813
    -4.50667    37.75829
    -4.50167    37.93683
    -4.49667    38.11333
    -4.49167    38.28737
    -4.48667    38.45853
    -4.48167    38.62635
    -4.47667    38.79040
    -4.47167    38.95024
    -4.46667    39.10542
    -4.46167    39.25551
    -4.45667    39.40008
    -4.45167    39.53869
    -4.44667    39.67096
    -4.44167    39.79647
    -4.43667    39.91485
    -4.43167    40.02575
    -4.42667    40.12882
    -4.42167    40.22376
    -4.41667    40.31028
    -4.41167    40.38812
    -4.40667    40.45706
    -4.40167    40.51691
    -4.39667    40.56750
    -4.39167    40.60870
    -4.38667    40.64044
    -4.38167    40.66266
    -4.37667    40.67534
    -4.37167    40.67850
    -4.36667    40.67221
    -4.36167    40.65656
    -4.35667    40.63170
    -4.35167    40.59778
    -4.34667    40.55503
    -4.34167    40.50367
    -4.33667    40.44399
    -4.33167    40.37630
    -4.32667    40.30092
    -4.32167    40.21822
    -4.31667    40.12859
    -4.31167    40.03244
    -4.30667    39.93021
    -4.30167    39.82233
    -4.29667    39.70928
    -4.29167    39.59153
    -4.28667    39.46958
    -4.28167    39.34390
    -4.27667    39.21500
    -4.27167    39.08337
    -4.26667    38.94951
    -4.26167    38.81391
    -4.25667    38.67705
    -4.25167    38.53940
    -4.24667    38.40142
    -4.24167    38.26357
    -4.23667    38.12625
    -4.23167    37.98990
    -4.22667    37.85489
    -4.22167    37.72159
    -4.21667    37.59034
    -4.21167    37.46147
    -4.20667    37.33525
    -4.20167    37.21197
    -4.19667    37.09185
    -4.19167    36.97512
    -4.18667    36.86194
    -4.18167    36.75249
    -4.17667    36.64689
    -4.17167    36.54524
    -4.16667    36.44763
    -4.16167    36.35410
    -4.15667    36.26468
    -4.15167    36.17939
    -4.14667    36.09821
    -4.14167    36.02111
    -4.13667    35.94804
    -4.13167    35.87893
    -4.12667    35.81370
    -4.12167    35.75226
    -4.11667    35.69450
    -4.11167    35.64030
    -4.10667    35.58956
    -4.10167    35.54214
    -4.09667    35.49792
    -4.09167    35.45676
    -4.08667    35.41854
    -4.08167    35.38312
    -4.07667    35.35038
    -4.07167    35.32020
    -4.06667    35.29247
    -4.06167    35.26708
    -4.05667    35.24392
    -4.05167    35.22292
    -4.04667    35.20398
    -4.04167    35.18705
    -4.03667    35.17206
    -4.03167    35.15897
    -4.02667    35.14774
    -4.02167    35.13835
    -4.01667    35.13080
    -4.01167    35.12507
    -4.00667    35.12120
    -4.00167    35.11920
    -3.99667    35.11910
    -3.99167    35.12096
    -3.98667    35.12482
    -3.98167    35.13074
    -3.97667    35.13880
    -3.97167    35.14908
    -3.96667    35.16164
    -3.96167    35.17658
    -3.95667    35.19399
    -3.95167    35.21395
    -3.94667    35.23656
    -3.94167    35.26190
    -3.93667    35.29007
    -3.93167    35.32115
    -3.92667    35.35522
    -3.92167    35.39236
    -3.91667    35.43265
    -3.91167    35.47614
    -3.90667    35.52291
    -3.90167    35.57299
    -3.89667    35.62643
    -3.89167    35.68327
    -3.88667    35.74352
    -3.88167    35.80720
    -3.87667    35.87431
    -3.87167    35.94485
    -3.86667    36.01880
    -3.86167    36.09613
    -3.85667    36.17680
    -3.85167    36.26077
    -3.84667    36.34797
    -3.84167    36.43835
    -3.83667    36.53182
    -3.83167    36.62830
    -3.82667    36.72772
    -3.82167    36.82996
    -3.81667    36.93493
    -3.81167    37.04252
    -3.80667    37.15262
    -3.80167    37.26512
    -3.79667    37.37991
    -3.79167    37.49686
    -3.78667    37.61586
    -3.78167    37.73679
    -3.77667    37.85955
    -3.77167    37.98401
    -3.76667    38.11007
    -3.76167    38.23762
    -3.75667    38.36657
    -3.75167    38.49681
    -3.74667    38.62827
    -3.74167    38.76085
    -3.73667    38.89449
    -3.73167    39.02911
    -3.72667    39.16465
    -3.72167    39.30107
    -3.71667    39.43833
    -3.71167    39.57638
    -3.70667    39.71520
    -3.70167    39.85477
    -3.69667    39.99509
    -3.69167    40.13616
    -3.68667    40.27798
    -3.68167    40.42057
    -3.67667    40.56396
    -3.67167    40.70819
    -3.66667    40.85328
    -3.66167    40.99929
    -3.65667    41.14628
    -3.65167    41.29429
    -3.64667    41.44341
    -3.64167    41.59371
    -3.63667    41.74526
    -3.63167    41.89814
    -3.62667    42.05244
    -3.62167    42.20826
    -3.61667    42.36570
    -3.61167    42.52484
    -3.60667    42.68580
    -3.60167    42.84868
    -3.59667    43.01359
    -3.59167    43.18064
    -3.58667    43.34994
    -3.58167    43.52162
    -3.57667    43.69579
    -3.57167    43.87256
    -3.56667    44.05207
    -3.56167    44.23443
    -3.55667    44.41977
    -3.55167    44.60821
    -3.54667    44.79989
    -3.54167    44.99493
    -3.53667    45.19346
    -3.53167    45.39561
    -3.52667    45.60151
    -3.52167    45.81130
    -3.51667    46.02510
    -3.51167    46.24305
    -3.50667    46.46528
    -3.50167    46.69191
    -3.49667    46.92309
    -3.49167    47.15893
    -3.48667    47.39956
    -3.48167    47.64511
    -3.47667    47.89570
    -3.47167    48.15143
    -3.46667    48.41244
    -3.46167    48.67881
    -3.45667    48.95065
    -3.45167    49.22806
    -3.44667    49.51112
    -3.44167    49.79990
    -3.43667    50.09448
    -3.43167    50.39490
    -3.42667    50.70121
    -3.42167    51.01343
    -3.41667    51.33160
    -3.41167    51.65569
    -3.40667    51.98570
    -3.40167    52.32159
    -3.39667    52.66330
    -3.39167    53.01076
    -3.38667    53.36389
    -3.38167    53.72255
    -3.37667    54.08661
    -3.37167    54.45590
    -3.36667    54.83025
    -3.36167    55.20943
    -3.35667    55.59321
    -3.35167    55.98133
    -3.34667    56.37349
    -3.34167    56.76939
    -3.33667    57.16867
    -3.33167    57.57098
    -3.32667    57.97591
    -3.32167    58.38307
    -3.31667    58.79199
    -3.31167    59.20223
    -3.30667    59.61330
    -3.30167    60.02468
    -3.29667    60.43586
    -3.29167    60.84629
    -3.28667    61.25541
    -3.28167    61.66266
    -3.27667    62.06744
    -3.27167    62.46916
    -3.26667    62.86723
    -3.26167    63.26103
    -3.25667    63.64996
    -3.25167    64.03341
    -3.24667    64.41078
    -3.24167    64.78146
    -3.23667    65.14486
    -3.23167    65.50041
    -3.22667    65.84755
    -3.22167    66.18571
    -3.21667    66.51438
    -3.21167    66.83304
    -3.20667    67.14121
    -3.20167    67.43845
    -3.19667    67.72431
    -3.19167    67.99841
    -3.18667    68.26038
    -3.18167    68.50991
    -3.17667    68.74669
    -3.17167    68.97047
    -3.16667    69.18105
    -3.16167    69.37825
    -3.15667    69.56193
    -3.15167    69.73202
    -3.14667    69.88845
    -3.14167    70.03122
    -3.13667    70.16037
    -3.13167    70.27596
    -3.12667    70.37811
    -3.12167    70.46697
    -3.11667    70.54272
    -3.11167    70.60560
    -3.10667    70.65585
    -3.10167    70.69377
    -3.09667    70.71967
    -3.09167    70.73391
    -3.08667    70.73684
    -3.08167    70.72886
    -3.07667    70.71039
    -3.07167    70.68185
    -3.06667    70.64369
    -3.06167    70.59635
    -3.05667    70.54030
    -3.05167    70.47600
    -3.04667    70.40392
    -3.04167    70.32452
    -3.03667    70.23827
    -3.03167    70.14561
    -3.02667    70.04700
    -3.02167    69.94287
    -3.01667    69.83363
    -3.01167    69.71969
    -3.00667    69.60142
    -3.00167    69.47919
    -2.99667    69.35334
    -2.99167    69.22417
    -2.98667    69.09198
    -2.98167    68.95703
    -2.97667    68.81954
    -2.97167    68.67973
    -2.96667    68.53776
    -2.96167    68.39378
    -2.95667    68.24791
    -2.95167    68.10022
    -2.94667    67.95077
    -2.94167    67.79959
    -2.93667    67.64668
    -2.93167    67.49199
    -2.92667    67.33549
    -2.92167    67.17707
    -2.91667    67.01665
    -2.91167    66.85407
    -2.90667    66.68920
    -2.90167    66.52186
    -2.89667    66.35186
    -2.89167    66.17898
    -2.88667    66.00302
    -2.88167    65.82373
    -2.87667    65.64087
    -2.87167    65.45418
    -2.86667    65.26340
    -2.86167    65.06825
    -2.85667    64.86847
    -2.85167    64.66378
    -2.84667    64.45390
    -2.84167    64.23855
    -2.83667    64.01747
    -2.83167    63.79038
    -2.82667    63.55703
    -2.82167    63.31715
    -2.81667    63.07050
    -2.81167    62.81683
    -2.80667    62.55592
    -2.80167    62.28755
    -2.79667    62.01151
    -2.79167    61.72762
    -2.78667    61.43568
    -2.78167    61.13554
    -2.77667    60.82703
    -2.77167    60.51003
    -2.76667    60.18441
    -2.76167    59.85005
    -2.75667    59.50687
    -2.75167    59.15479
    -2.74667    58.79374
    -2.74167    58.42367
    -2.73667    58.04455
    -2.73167    57.65635
    -2.72667    57.25906
    -2.72167    56.85270
    -2.71667    56.43727
    -2.71167    56.01282
    -2.70667    55.57937
    -2.70167    55.13699
    -2.69667    54.68575
    -2.69167    54.22571
    -2.68667    53.75696
    -2.68167    53.27960
    -2.67667    52.79373
    -2.67167    52.29948
    -2.66667    51.79695
    -2.66167    51.28630
    -2.65667    50.76765
    -2.65167    50.24115
    -2.64667    49.70697
    -2.64167    49.16526
    -2.63667    48.61621
    -2.63167    48.05999
    -2.62667    47.49679
    -2.62167    46.92681
    -2.61667    46.35026
    -2.61167    45.76734
    -2.60667    45.17830
    -2.60167    44.58335
    -2.59667    43.98275
    -2.59167    43.37673
    -2.58667    42.76558
    -2.58167    42.14956
    -2.57667    41.52895
    -2.57167    40.90404
    -2.56667    40.27516
    -2.56167    39.64261
    -2.55667    39.00673
    -2.55167    38.36785
    -2.54667    37.72634
    -2.54167    37.08256
    -2.53667    36.43688
    -2.53167    35.78971
    -2.52667    35.14144
    -2.52167    34.49249
    -2.51667    33.84329
    -2.51167    33.19427
    -2.50667    32.54588
    -2.50167    31.89858
    -2.49667    31.25282
    -2.49167    30.60910
    -2.48667    29.96787
    -2.48167    29.32964
    -2.47667    28.69488
    -2.47167    28.06410
    -2.46667    27.43777
    -2.46167    26.81640
    -2.45667    26.20047
    -2.45167    25.59047
    -2.44667    24.98688
    -2.44167    24.39018
    -2.43667    23.80082
    -2.43167    23.21927
    -2.42667    22.64596
    -2.42167    22.08132
    -2.41667    21.52576
    -2.41167    20.97966
    -2.40667    20.44340
    -2.40167    19.91733
    -2.39667    19.40176
    -2.39167    18.89700
    -2.38667    18.40331
    -2.38167    17.92095
    -2.37667    17.45013
    -2.37167    16.99102
    -2.36667    16.54380
    -2.36167    16.10856
    -2.35667    15.68541
    -2.35167    15.27440
    -2.34667    14.87556
    -2.34167    14.48886
    -2.33667    14.11428
    -2.33167    13.75174
    -2.32667    13.40112
    -2.32167    13.06229
    -2.31667    12.73508
    -2.31167    12.41929
    -2.30667    12.11470
    -2.30167    11.82105
    -2.29667    11.53807
    -2.29167    11.26546
    -2.28667    11.00289
    -2.28167    10.75002
    -2.27667    10.50649
    -2.27167    10.27193
    -2.26667    10.04595
    -2.26167     9.82815
    -2.25667     9.61812
    -2.25167     9.41546
    -2.24667     9.21973
    -2.24167     9.03053
    -2.23667     8.84743
    -2.23167     8.67002
    -2.22667     8.49788
    -2.22167     8.33062
    -2.21667     8.16783
    -2.21167     8.00913
    -2.20667     7.85414
    -2.20167     7.70252
    -2.19667     7.55391
    -2.19167     7.40800
    -2.18667     7.26448
    -2.18167     7.12306
    -2.17667     6.98347
    -2.17167     6.84548
    -2.16667     6.70886
    -2.16167     6.57341
    -2.15667     6.43895
    -2.15167     6.30534
    -2.14667     6.17243
    -2.14167     6.04014
    -2.13667     5.90837
    -2.13167     5.77706
    -2.12667     5.64617
    -2.12167     5.51569
    -2.11667     5.38562
    -2.11167     5.25597
    -2.10667     5.12681
    -2.10167     4.99818
    -2.09667     4.87016
    -2.09167     4.74285
    -2.08667     4.61634
    -2.08167     4.49078
    -2.07667     4.36628
    -2.07167     4.24299
    -2.06667     4.12106
    -2.06167     4.00066
    -2.05667     3.88196
    -2.05167     3.76513
    -2.04667     3.65035
    -2.04167     3.53781
    -2.03667     3.42768
    -2.03167     3.32017
    -2.02667     3.21544
    -2.02167     3.11369
    -2.01667     3.01511
    -2.01167     2.91986
    -2.00667     2.82813
    -2.00167     2.74010
