    #Energy        TDOS
    #TDOS obtained from EIGENVAL file
    -5.75801     0.00203
    -5.75301     0.00232
    -5.74801     0.00265
    -5.74301     0.00302
    -5.73801     0.00344
    -5.73301     0.00391
    -5.72801     0.00444
    -5.72301     0.00505
    -5.71801     0.00572
    -5.71301     0.00648
    -5.70801     0.00733
    -5.70301     0.00829
    -5.69801     0.00936
    -5.69301     0.01055
    -5.68801     0.01189
    -5.68301     0.01338
    -5.67801     0.01505
    -5.67301     0.01690
    -5.66801     0.01896
    -5.66301     0.02125
    -5.65801     0.02379
    -5.65301     0.02660
    -5.64801     0.02972
    -5.64301     0.03317
    -5.63801     0.03698
    -5.63301     0.04118
    -5.62801     0.04581
    -5.62301     0.05091
    -5.61801     0.05651
    -5.61301     0.06267
    -5.60801     0.06943
    -5.60301     0.07684
    -5.59801     0.08495
    -5.59301     0.09382
    -5.58801     0.10350
    -5.58301     0.11407
    -5.57801     0.12559
    -5.57301     0.13813
    -5.56801     0.15177
    -5.56301     0.16658
    -5.55801     0.18265
    -5.55301     0.20007
    -5.54801     0.21893
    -5.54301     0.23932
    -5.53801     0.26134
    -5.53301     0.28511
    -5.52801     0.31073
    -5.52301     0.33830
    -5.51801     0.36796
    -5.51301     0.39982
    -5.50801     0.43401
    -5.50301     0.47065
    -5.49801     0.50989
    -5.49301     0.55186
    -5.48801     0.59669
    -5.48301     0.64454
    -5.47801     0.69555
    -5.47301     0.74987
    -5.46801     0.80765
    -5.46301     0.86905
    -5.45801     0.93423
    -5.45301     1.00334
    -5.44801     1.07654
    -5.44301     1.15399
    -5.43801     1.23585
    -5.43301     1.32229
    -5.42801     1.41346
    -5.42301     1.50952
    -5.41801     1.61062
    -5.41301     1.71693
    -5.40801     1.82859
    -5.40301     1.94576
    -5.39801     2.06858
    -5.39301     2.19719
    -5.38801     2.33173
    -5.38301     2.47233
    -5.37801     2.61912
    -5.37301     2.77222
    -5.36801     2.93174
    -5.36301     3.09780
    -5.35801     3.27049
    -5.35301     3.44990
    -5.34801     3.63613
    -5.34301     3.82924
    -5.33801     4.02932
    -5.33301     4.23640
    -5.32801     4.45056
    -5.32301     4.67182
    -5.31801     4.90023
    -5.31301     5.13580
    -5.30801     5.37855
    -5.30301     5.62849
    -5.29801     5.88562
    -5.29301     6.14991
    -5.28801     6.42136
    -5.28301     6.69993
    -5.27801     6.98558
    -5.27301     7.27828
    -5.26801     7.57796
    -5.26301     7.88458
    -5.25801     8.19806
    -5.25301     8.51833
    -5.24801     8.84532
    -5.24301     9.17894
    -5.23801     9.51911
    -5.23301     9.86574
    -5.22801    10.21874
    -5.22301    10.57799
    -5.21801    10.94342
    -5.21301    11.31491
    -5.20801    11.69236
    -5.20301    12.07567
    -5.19801    12.46473
